forecast_period,start_time,temperature,temperature_unit,precipitation_probability_unit,precipitation_probability_value,dewpoint_unit,dewpoint_value,relative_humidity_unit,relative_humidity_value,wind_speed,wind_direction,weather_icon_url,short_forecast
1,2025-04-28T16:00:00-05:00,81,F,wmoUnit:percent,0,wmoUnit:degC,15.555555555555555,wmoUnit:percent,49,10 mph,S,https://api.weather.gov/icons/land/day/few?size=small,Sunny
2,2025-04-28T17:00:00-05:00,80,F,wmoUnit:percent,0,wmoUnit:degC,15,wmoUnit:percent,49,5 mph,S,https://api.weather.gov/icons/land/day/few?size=small,Sunny
3,2025-04-28T18:00:00-05:00,79,F,wmoUnit:percent,0,wmoUnit:degC,15.555555555555555,wmoUnit:percent,52,5 mph,S,https://api.weather.gov/icons/land/night/few?size=small,Mostly Clear
4,2025-04-28T19:00:00-05:00,76,F,wmoUnit:percent,0,wmoUnit:degC,15.555555555555555,wmoUnit:percent,58,5 mph,S,https://api.weather.gov/icons/land/night/few?size=small,Mostly Clear
5,2025-04-28T20:00:00-05:00,72,F,wmoUnit:percent,0,wmoUnit:degC,15.555555555555555,wmoUnit:percent,66,5 mph,S,https://api.weather.gov/icons/land/night/skc?size=small,Clear
6,2025-04-28T21:00:00-05:00,71,F,wmoUnit:percent,0,wmoUnit:degC,15.555555555555555,wmoUnit:percent,68,5 mph,S,https://api.weather.gov/icons/land/night/skc?size=small,Clear
7,2025-04-28T22:00:00-05:00,69,F,wmoUnit:percent,0,wmoUnit:degC,15,wmoUnit:percent,70,10 mph,S,https://api.weather.gov/icons/land/night/skc?size=small,Clear
8,2025-04-28T23:00:00-05:00,68,F,wmoUnit:percent,0,wmoUnit:degC,15,wmoUnit:percent,73,10 mph,S,https://api.weather.gov/icons/land/night/skc?size=small,Clear
9,2025-04-29T00:00:00-05:00,67,F,wmoUnit:percent,0,wmoUnit:degC,14.444444444444445,wmoUnit:percent,73,10 mph,S,https://api.weather.gov/icons/land/night/skc?size=small,Clear
10,2025-04-29T01:00:00-05:00,66,F,wmoUnit:percent,0,wmoUnit:degC,13.88888888888889,wmoUnit:percent,73,10 mph,S,https://api.weather.gov/icons/land/night/skc?size=small,Clear
11,2025-04-29T02:00:00-05:00,66,F,wmoUnit:percent,0,wmoUnit:degC,13.88888888888889,wmoUnit:percent,73,10 mph,S,https://api.weather.gov/icons/land/night/few?size=small,Mostly Clear
12,2025-04-29T03:00:00-05:00,65,F,wmoUnit:percent,0,wmoUnit:degC,13.333333333333334,wmoUnit:percent,73,10 mph,S,https://api.weather.gov/icons/land/night/few?size=small,Mostly Clear
13,2025-04-29T04:00:00-05:00,65,F,wmoUnit:percent,0,wmoUnit:degC,12.777777777777779,wmoUnit:percent,70,10 mph,S,https://api.weather.gov/icons/land/night/few?size=small,Mostly Clear
14,2025-04-29T05:00:00-05:00,64,F,wmoUnit:percent,0,wmoUnit:degC,13.333333333333334,wmoUnit:percent,75,10 mph,S,https://api.weather.gov/icons/land/night/few?size=small,Mostly Clear
15,2025-04-29T06:00:00-05:00,63,F,wmoUnit:percent,1,wmoUnit:degC,13.333333333333334,wmoUnit:percent,78,10 mph,S,https://api.weather.gov/icons/land/day/sct?size=small,Mostly Sunny
16,2025-04-29T07:00:00-05:00,65,F,wmoUnit:percent,2,wmoUnit:degC,14.444444444444445,wmoUnit:percent,78,10 mph,S,https://api.weather.gov/icons/land/day/sct?size=small,Mostly Sunny
17,2025-04-29T08:00:00-05:00,66,F,wmoUnit:percent,3,wmoUnit:degC,15.555555555555555,wmoUnit:percent,81,10 mph,S,https://api.weather.gov/icons/land/day/sct?size=small,Mostly Sunny
18,2025-04-29T09:00:00-05:00,69,F,wmoUnit:percent,7,wmoUnit:degC,16.666666666666668,wmoUnit:percent,78,10 mph,S,https://api.weather.gov/icons/land/day/sct?size=small,Mostly Sunny
19,2025-04-29T10:00:00-05:00,73,F,wmoUnit:percent,10,wmoUnit:degC,17.22222222222222,wmoUnit:percent,71,10 mph,S,https://api.weather.gov/icons/land/day/sct?size=small,Mostly Sunny
20,2025-04-29T11:00:00-05:00,75,F,wmoUnit:percent,15,wmoUnit:degC,17.77777777777778,wmoUnit:percent,69,10 mph,S,"https://api.weather.gov/icons/land/day/rain_showers,20?size=small",Slight Chance Rain Showers
21,2025-04-29T12:00:00-05:00,76,F,wmoUnit:percent,20,wmoUnit:degC,18.333333333333332,wmoUnit:percent,69,10 mph,SSW,"https://api.weather.gov/icons/land/day/rain_showers,20?size=small",Slight Chance Rain Showers
22,2025-04-29T13:00:00-05:00,78,F,wmoUnit:percent,31,wmoUnit:degC,18.333333333333332,wmoUnit:percent,64,10 mph,SSW,"https://api.weather.gov/icons/land/day/tsra_hi,30?size=small",Chance Showers And Thunderstorms
23,2025-04-29T14:00:00-05:00,79,F,wmoUnit:percent,31,wmoUnit:degC,17.77777777777778,wmoUnit:percent,60,10 mph,SSW,"https://api.weather.gov/icons/land/day/tsra_hi,30?size=small",Chance Showers And Thunderstorms
24,2025-04-29T15:00:00-05:00,79,F,wmoUnit:percent,25,wmoUnit:degC,18.333333333333332,wmoUnit:percent,62,10 mph,SSW,"https://api.weather.gov/icons/land/day/tsra_hi,30?size=small",Chance Showers And Thunderstorms
25,2025-04-29T16:00:00-05:00,79,F,wmoUnit:percent,23,wmoUnit:degC,18.333333333333332,wmoUnit:percent,62,10 mph,SW,"https://api.weather.gov/icons/land/day/tsra_hi,20?size=small",Slight Chance Showers And Thunderstorms
